Video_ID,Category,Slide_1_Title,Slide_2_Question,Slide_3_Question,Slide_4_Question,Slide_5_Question,Slide_6_Question,Status
Video_24,Couples / Relationships,5 questions about future goals and dreams,What is your biggest personal goal for this year?,How can I help you reach your career dreams?,Where do you ultimately want to settle down?,How do you view marriage and starting a family?,What kind of lifestyle do you picture us living in 10 years?,Done
Video_25,Couples / Relationships,5 questions for couples who communicate badly,Why do we always get defensive during arguments?,What's a secret grudge you're holding against me?,Do you feel like I actually listen or just wait to speak?,How can we express hurt without shutting down?,What's something I say that triggers you instantly?,Done
Video_26,Deep Friends,5 questions for long distance best friends,Do you ever feel like we're drifting apart?,What do you miss most about our daily routine?,When was the last time you really needed me there?,How has the distance changed your perspective on us?,What's a memory that always makes you laugh out loud?,Done
Video_27,Couples / Relationships,5 deep questions for new couples,What are your non-negotiables in a relationship?,How do you handle stress when life gets overwhelming?,What is your love language and how do you like to receive it?,How did your family dynamic shape how you love?,What's something I should know about your past?,Done
Video_28,Couples / Relationships,5 questions about money and financial habits,Are you a spender or a saver?,How do you feel about sharing a joint bank account one day?,What was your family's attitude toward money growing up?,How much debt are you comfortable carrying?,What is a financial splurge you never feel guilty about?,Done
Video_29,Self-Reflection,5 questions to find out who you really are,What is something you love about yourself that isn't an achievement?,When do you feel most like your authentic self?,What is a belief you held for years that you recently let go of?,How do you speak to yourself when you fail?,What is your soul craving right now?,Done
Video_30,Couples / Relationships,5 questions to ask your partner right now,Are you genuinely happy or just going through the motions?,What's something you want to try in bed but haven't said?,Do you feel like we give equal effort into us?,What's a habit of mine you find super comforting?,What's your biggest fear about losing me?,Done
Video_31,Couples / Relationships,5 questions for couples who feel like roommates,When did we stop flirting with each other?,What's a small gesture we used to do that we need to bring back?,Do you miss the honeymoon phase or prefer where we are?,How can we prioritize quality time over screens?,Are you willing to put in the work to rekindle our spark?,Done
Video_32,Group Chats,5 questions to stir the pot in the group chat,Who complains the most but changes nothing?,Who has the most chaotic dating life right now?,Who always plans things but flaked last minute?,Who is the biggest hopeless romantic?,Who handles alcohol the absolute worst?,Done
Video_33,Couples / Relationships,5 questions about love languages and care,Do you feel appreciated for the little things you do?,How do you prefer to be comforted when you're sad?,What physical touch makes you feel most secure?,Does receiving gifts mean a lot to you or do words matter more?,How can I show you love when you're having a terrible day?,Done
Video_34,Situationships,5 uncomfortable questions for your bench warmer,Am I your main focus or just a backup option?,Why do you disappear for days and come back like nothing happened?,Are you scared of losing me or just scared of being lonely?,What are you telling your friends about me?,Do you actually care about me or just the attention I give you?,Done
Video_35,Couples / Relationships,5 deep questions for late night pillow talk,What's a secret insecurity you rarely speak out loud?,If you could change one thing about our relationship what would it be?,What's a childhood memory that still shapes who you are?,Do you think our souls were meant to find each other?,What makes you feel safest when you're around me?,Done
Video_36,Couples / Relationships,5 questions for when trust was broken,Do you believe true forgiveness is possible between us?,What steps do I need to take to earn back your trust?,Are you holding onto anger that you haven't expressed?,Do you feel safe being vulnerable with me again?,Is there any part of you that wants revenge?,Done
Video_37,Couples / Relationships,5 questions to ask on your anniversary,What was your favorite date we've ever been on?,How have we both grown since the day we met?,What is a challenge we conquered that made us stronger?,What are you most excited for in our next chapter?,Do you still get butterflies when you look at me?,Done
Video_38,Couples / Relationships,5 questions about mental health and relationships,How can I support you when your anxiety acts up?,Do you feel like my bad moods affect your energy too much?,Is there a way I can give you space without making you feel abandoned?,What's something you struggle to explain about your mental health?,Do you feel safe telling me when you're overwhelmed?,Done
Video_39,Deep Friends,5 friendship questions that hit hard,When was a time you felt judged by me?,What is something I do that accidentally makes you feel distant?,How do you think we've changed as a duo?,What's a truth about me that I really need to hear?,Do you feel like our friendship is equal?,Done
Video_40,Couples / Relationships,5 questions about family and in-laws,Do you feel accepted by my family?,Are there boundaries we need to set with our parents?,How do you want to handle holidays and family drama?,What family traditions do you want to keep or throw away?,Do you think my family influences our decisions too much?,Done
Video_41,Couples / Relationships,5 questions for couples who overthink,Are we worrying about problems that don't even exist yet?,What's a worst-case scenario you keep playing in your head?,Do you feel like you constantly need reassurance from me?,How can I make you feel more secure in our bond?,What's a positive thought about us you can hold onto today?,Done
Video_42,Situationships,5 questions for when you catch feelings first,What happens if I tell you I want something real?,Are you pretending to be casual just to keep me around?,Does it bother you when I talk about other people?,Are we going to keep playing games or talk like adults?,What are we actually doing here?,Done
Video_43,Couples / Relationships,5 questions to ask after a huge fight,Are we calm enough to listen to each other now?,What was the real reason behind our argument?,How can we avoid making the same mistake next time?,Do you still know how much I love you despite the argument?,Can we hug it out now?,Done
Video_44,Self-Reflection,5 self-reflection questions for personal growth,What is a habit that is silently draining your energy?,Whose approval are you still trying to win?,What is something you need to forgive yourself for?,Are you living or just surviving day to day?,What brings you a true sense of fulfillment?,Done
Video_45,Couples / Relationships,5 questions for high school or college sweethearts,Do you ever wonder what it's like to date other people?,Have we grown together or did we just adapt to each other?,Who were you before me and who are you now?,How do we make sure we don't lose our individual identities?,Are you proud of the history we've built?,Done
Video_46,Couples / Relationships,5 questions about love and social media,Do you feel comfortable when I post photos of us online?,Does seeing other couple content make you compare us?,What's a boundary we should set about phone usage during dates?,Do you mind if I keep photos of my exes on my feed?,Is privacy in our relationship important to you?,Done
Video_47,Couples / Relationships,5 questions for busy couples with no time,When can we schedule our next undivided date night?,Do you feel like work is coming between us?,How can we show affection in just 5 minutes a day?,Are we spending quality time together or just screen time?,What can I take off your plate this week to lighten your load?,Done
Video_48,Group Chats,5 questions to test loyalty in the group chat,Who would survive a horror movie the longest?,Who has the absolute worst taste in partners?,Who is most likely to disappear to another country without warning?,Who is the text spammer when they get bored?,Who do you call to bail you out of jail at 3 AM?,Done
Video_49,Couples / Relationships,5 questions to deepen physical intimacy,What makes you feel most connected during physical touch?,Is there something new you'd love for us to explore together?,How do you feel about the frequency of our intimacy?,What's something non-physical that turns you on instantly?,Do you feel comfortable initiating intimacy with me?,Done
Video_50,Couples / Relationships,5 questions for couples who are total opposites,How do our differences make us a stronger team?,Where do our personalities clash the most?,Do you ever wish I was more like you in certain ways?,How do we find compromise when we want totally different things?,What's your favorite thing about how different we are?,Done
Video_51,Couples / Relationships,5 raw questions for late night drives,Are you scared of getting old together?,What's something you wish I complimented you on more often?,Do you feel like you can be 100% ugly-vulnerable around me?,What's a secret goal you're working on in silence?,When did you feel most supported by me this year?,Done
Video_52,Situationships,5 questions for when they give you mixed signals,Why do you act like my partner in private but a stranger in public?,Are you emotionally unavailable or just unavailable for me?,What are you terrified of happening if we make this official?,Do you actually miss me when I'm gone or just miss my company?,Is this a green light or a red flag?,Done
Video_53,Couples / Relationships,5 questions about jealousy and insecurity,What's something I do that makes you feel insecure without meaning to?,How do you feel when other people hit on me?,Do you trust me completely when I'm out without you?,What can I do to reassure you when you feel anxious?,Is jealousy healthy in small doses or toxic?,
Video_54,Couples / Relationships,5 questions to ask your partner about their past,What's a lesson a past relationship taught you that helps us today?,Is there anything from your childhood you're still working to heal?,How did your parents' relationship shape your view of love?,What's a mistake you made in the past that you'll never repeat?,Do you feel like you've outgrown your past self?,
Video_55,Couples / Relationships,5 questions to test your couple dynamic,Are we a power couple or a chaotic duo?,Who is the level-headed one when crisis hits?,Who is the more dramatic one over minor inconvenience?,Who makes the impulse decisions in this relationship?,Who is the bigger softie behind closed doors?,
Video_56,Deep Friends,5 check-in questions for your favorite person,How are you really doing on a scale of 1 to 10?,What is a silent battle you are fighting right now?,How can I show up for you better as a friend?,Do you feel like you have to mask your feelings around me?,What is something you love about our friendship bond?,
Video_57,Couples / Relationships,5 questions to ask when you feel disconnected,When did we start feeling like distant ships in the night?,What is one thing I can do today to make you feel loved?,Do you feel lonely right now?,How can we bring back our playful energy?,Are you willing to sit down and talk things out with me?,
Video_58,Couples / Relationships,5 questions for couples planning a trip,Who is going to be the chaotic itinerary planner?,Who is going to overpack by 3 suitcases?,Who complains first when the flight gets delayed?,Who is most likely to get lost exploring the city?,What's the main thing you want to get out of this trip?,
Video_59,Couples / Relationships,5 questions about love languages and conflict,How do you want me to react when you get angry?,Do you need space after a fight or immediate affection?,What words hurt you the most during an argument?,How do you know when I'm genuinely apologetic?,What helps you reset after a tough day?,
Video_60,Situationships,5 signs you need to walk away from them,Are you staying because you love them or because you hate being single?,Why are you accepting bare minimum effort?,How many times have they promised to change without acting?,Do you feel anxious more often than you feel happy with them?,What would you advise your best friend to do in your shoes?,
Video_61,Couples / Relationships,5 questions about shared values and morals,What are the core values you will never compromise on?,How do you define success in life beyond money?,What are your political or philosophical non-negotiables?,How important is spirituality or religion in your daily life?,What kind of legacy do you want us to leave behind?,
Video_62,Couples / Relationships,5 questions for couples who fight over small things,Why are we really arguing about the dishes?,What underlying stress are we projecting onto each other?,How can we pause before reacting in heat of the moment?,Do we fight to win or fight to understand each other?,Can we agree to be on the same team next time?,
Video_63,Self-Reflection,5 questions for when you feel stuck in life,Is your current routine helping you grow or keeping you comfortable?,What fear is holding you back from making a big change?,What does peace look like to you in this current season?,What is one thing you can forgive yourself for today?,Are you living for yourself or for social media?,
Video_64,Couples / Relationships,5 questions about affection and romance,Do you prefer subtle public affection or grand romantic gestures?,What is the sweetest thing I've ever said to you?,How do you feel when I hold your hand in public?,What's a date idea you've been secretly dying to try?,Do you feel like the romance in our relationship is alive?,
Video_65,Couples / Relationships,5 questions about personal boundaries,What is a boundary you're afraid to set with me?,Do you feel comfortable saying no to me when you're tired?,How do you feel about us having separate friend groups?,Is there anything I do that feels overbearing or possessive?,How do we protect our personal time while being together?,
Video_66,Couples / Relationships,5 questions to ask your partner on Sunday night,What was the highlight of your week with me?,Is there anything on your mind stressing you about tomorrow?,How can I help you feel relaxed before the week starts?,What's one thing you want to accomplish together this week?,Did you feel loved and appreciated this weekend?,
Video_67,Group Chats,5 questions for chaotic friend groups,Who sends 50 TikToks a day that no one opens?,Who has the weirdest hyperfixations right now?,Who is the most easily peer-pressured on a night out?,Who is the most intimidating at first glance but soft inside?,Who always starts the drama and who finishes it?,
Video_68,Couples / Relationships,5 questions about long-term compatibility,Do our visions for the next 5 years align?,How do we handle major life transitions as a team?,Are we both willing to adapt as the other person grows?,What's a compromise we've made that turned out great?,Do you see me as your life partner?,
Video_69,Situationships,5 questions to ask your talking stage,What are you looking for on dating apps right now?,What's your biggest red flag in a relationship?,How long was your longest relationship?,What made your last relationship end?,Are you ready for something real or just having fun?,
Video_70,Couples / Relationships,5 questions about work-life-love balance,Do you feel like my career gets more attention than you?,How do we leave work stress outside our bedroom door?,What's a healthy rule we can set for working late?,Do you feel supported in your career ambitions by me?,How can we protect our weekends for just us?,
Video_71,Couples / Relationships,5 deep questions for engagement or marriage talks,What does marriage mean to you personally?,How will we handle major financial decisions together?,What are your expectations for parenting and raising kids?,How will we protect our spark when life gets crazy?,What promises do you want us to make to each other?,
Video_72,Couples / Relationships,5 questions about emotional vulnerability,Why is it sometimes hard for you to express your feelings?,What can I do to make you feel safer opening up?,Have you ever lied to me to protect my feelings?,What's an emotion you struggle to handle on your own?,Do you trust me with your deepest fears?,
Video_73,Deep Friends,5 questions for your day one friends,Do you like the person I've become over the years?,What's a crazy memory of us that feels surreal now?,How did we manage to stay close through all the changes?,What did we used to stress about that seems silly today?,Who was actually the worse influence on whom?,
Video_74,Couples / Relationships,5 questions about relationship pet peeves,What is a tiny habit of mine that low-key drives you crazy?,How do you react when I interrupt you while speaking?,What's something I do in public that embarrasses you slightly?,How do we bring up minor pet peeves without hurting feelings?,What's a weird quirk of mine that you actually find cute?,
Video_75,Couples / Relationships,5 questions to reignite the spark tonight,What's a memory of us that still gives you butterflies?,If we could recreate our first date night where are we going?,What's something bold you want us to do together this month?,What do you find most attractive about me right now?,How can I make you feel desired tonight?,
Video_76,Self-Reflection,5 questions for healing your inner child,Would younger you be proud of who you are today?,What did you need to hear when you were 15 years old?,What hobby did you love as a kid that you stopped doing?,What promise did you make to yourself that you broke?,How can you be kinder to yourself starting today?,
Video_77,Couples / Relationships,5 questions for when life feels overwhelming,Do you feel like we're supporting each other through this storm?,What can we simplify in our routine right now?,How can I take mental load off your mind today?,Do you need a hug space or a practical solution right now?,Are we remembering to stay on the same team?,
Video_78,Situationships,5 hard truths about staying in the talking stage,Why haven't they introduced you to their friends yet?,Why do they only text you when it's convenient for them?,Are you holding onto potential or actual reality?,How much time are you wasting on someone who is unsure?,When are you going to demand what you actually deserve?,
Video_79,Couples / Relationships,5 questions to ask your partner about health and wellness,How can we encourage each other to live healthier lives?,Do you feel supported by me in your fitness or health goals?,How do we handle burnout when we're both exhausted?,What's a healthy habit we can start building together tomorrow?,Do you feel good in your own body right now?,
Video_80,Couples / Relationships,5 questions for long distance couples,What do you miss most about my physical presence?,How can we make our phone calls feel more special?,What's a goal we can set for our next visit?,How do you cope when the distance feels unbearable?,Do you still believe the wait is worth it?,
Video_81,Couples / Relationships,5 questions to ask on a cozy rainy day,What's your ultimate comfort food or movie combo?,What is a dream memory you want us to create this winter?,If we could stay in bed all day what are we doing?,What's a secret story from your past you haven't told me yet?,Do you feel peaceful right now?,
Video_82,Group Chats,5 questions to ask your group chat at midnight,Who is overthinking something silly right now?,What is a secret this chat is collectively keeping?,Who changed the most since we all met for the first time?,Who has the most secretive crush right now?,If we started a business together who ruins it first?,
Video_83,Couples / Relationships,5 questions about forgiveness and moving on,Is there an old mistake I made that you haven't fully forgiven?,How do we know when an issue is truly laid to rest?,What helps you let go of resentment in our relationship?,Do you feel like I give genuine apologies when I mess up?,How can we heal stronger together?,
Video_84,Couples / Relationships,5 questions about decision making in love,Do you feel like we make big life decisions as equals?,How do we handle situations where we completely disagree?,Who usually makes the final call on daily plans?,Do you feel like your voice is always heard and valued?,What's a decision we made together that you're super proud of?,
Video_85,Self-Reflection,5 questions to ask yourself when overthinking,Is this problem going to matter in 5 years?,Are you reacting to reality or a story in your head?,What is one thing within your control right now?,Who can you reach out to for honest support?,What is one thing that went right today?,
Video_86,Couples / Relationships,5 questions about social life and friends,Do you like my friends and feel comfortable around them?,Do you feel like I prioritize my friends over you sometimes?,How do we balance couple time with our individual social lives?,What's your favorite double date memory we've had?,Do you feel like our social group supports our relationship?,
Video_87,Couples / Relationships,5 questions for when you're celebrating a big win,How does it feel to achieve this milestone together?,How can I hype you up and celebrate you properly?,What was the hardest step in getting to this success?,Who was the first person you wanted to tell the news to?,What is our next big dream to conquer?,
Video_88,Situationships,5 signs they are stringing you along,Do they call you lover in private but friend in public?,Why do they dodge conversations about the future?,Are they giving you breadcrumbs of affection just to keep you hooked?,Do you feel like an option while treating them like a priority?,When is enough going to be enough for you?,
Video_89,Couples / Relationships,5 questions to ask your partner about vacation habits,Are you an explore-every-corner traveler or lie-on-the-beach person?,How do you handle unexpected travel mishaps or flight delays?,What's your budget style when traveling together?,What's your bucket list destination for us as a couple?,What's your favorite travel memory of us so far?,
Video_90,Couples / Relationships,5 deep questions about emotional safety,Do you feel safe telling me your unpopular opinions?,What makes you feel most sheltered from the outside world when with me?,Have I ever invalidated your emotions during a conversation?,How can I be a better safe space for your heart?,Do you trust me with your deepest secrets?,
Video_91,Deep Friends,5 conversations for friends who became soulmates,When did you first realize we were going to be lifelong friends?,What's a small detail about me that you notice when others don't?,How do you think we handle stress as a team?,What's the kindest thing I've ever done for you?,Do you know how much you mean to me?,
Video_92,Couples / Relationships,5 questions about household responsibility,Do you feel like the division of labor in our home is fair?,How can we make chores feel less like a burden and more like teamwork?,What's a chore you absolutely hate that I can take over?,Do you feel mental load stress that I might not be seeing?,How can we create a more peaceful living environment?,
Video_93,Couples / Relationships,5 questions about personal space,Do you get enough alone time to recharge your energy?,How do you tell me you need space without hurting my feelings?,What's your favorite solo activity that recharges your soul?,Do you feel guilty when you want time away from me?,How do we balance togetherness and independence?,
Video_94,Couples / Relationships,5 questions to ask your partner on a spontaneous date,What's the most unexpected thing you love about us?,If we drove to the airport right now where are we flying?,What's a secret desire you've been holding back?,What song best describes our current chapter of love?,Are you ready for an adventure tonight?,
Video_95,Couples / Relationships,5 questions about growth and evolution,In what ways have you seen me mature since we met?,How have your personal priorities shifted over the last year?,Are we encouraging each other to step out of our comfort zones?,What's a habit you're working to improve for yourself?,Are you proud of the person you are becoming next to me?,
Video_96,Situationships,5 questions to ask yourself before texting your ex,Are you actually missing them or just feeling lonely tonight?,Will texting them heal you or reset your progress?,Do you remember why it ended in the first place?,Are you looking for closure or just seeking validation?,Is opening that door worth disrupting your peace?,
Video_97,Couples / Relationships,5 questions for couples facing big life changes,How are we feeling about this upcoming transition?,What is your biggest anxiety about the upcoming change?,How can we stay grounded and connected through the chaos?,What's a ritual we can keep no matter where life takes us?,Do you know I'm in your corner no matter what?,
Video_98,Couples / Relationships,5 romantic questions for late night overthinking,What's a dream about us that you hope comes true?,When do you feel most passionately loved by me?,What is something sweet I did recently that stayed on your mind?,How do you describe our love story to people who ask?,Do you know how deeply I care about you?,
Video_99,Group Chats,5 questions to break the awkward silence in the chat,Who has the most unread text messages right now?,Who makes the worst impulse financial decisions?,Who is low-key the secret genius of this group?,Who is the most protective over everyone else?,What's a plan we've been talking about forever that we need to actually do?,
Video_100,Couples / Relationships,5 ultimate questions for forever love,Do you still choose me today like you did on day one?,What is the foundation that keeps our bond unbreakable?,How do you picture us when we're old and grey?,What is the most beautiful lesson our love has taught you?,Are you ready for everything the future holds for us?,
